Sno,Name,Party,State
1,"Abdul Wahab, Shri",IUML,Kerala
2,"Abraham, Shri Joy",KC(M),Kerala
3,"Aga, Ms. Anu",NOM.,Nominated
4,"Agrawal, Shri Naresh",SP,Uttar Pradesh
5,"Aiyar, Shri Mani Shankar",INC,Nominated
6,"Akbar, Shri M. J.",BJP,Jharkhand
7,"Akhtar, Shri Javed",NOM.,Nominated
8,"Ali, Shri Munquad",BSP,Uttar Pradesh
9,"Anand Sharma, Shri",INC,Rajasthan
10,"Ansari, Shri Ali Anwar",JD(U),Bihar
11,"Ansari, Shri Salim",BSP,Uttar Pradesh
12,"Antony, Shri A.K.",INC,Kerala
13,"Arjunan, Shri K. R.",AIADMK,Tamil Nadu
14,"Ashk Ali Tak, Shri",INC,Rajasthan
15,"Ashwani Kumar, Shri",INC,Punjab
16,"Athawale, Shri Ramdas",RPI(A),Maharashtra
17,"Azad, Shri Ghulam Nabi",INC,Jammu & Kashmir
18,"Babbar, Shri Raj",INC,Uttarakhand
19,"Bachchan, Smt. Jaya",SP,Uttar Pradesh
20,"Baidya, Smt. Jharna Das",CPI(M),Tripura
21,"Balagopal, Shri K.N.",CPI(M),Kerala
22,"Balmuchu, Dr. Pradeep Kumar",INC,Jharkhand
23,"Balyawi, Shri Gulam Rasool",JD(U),Bihar
24,"Bandyopadhyay, Shri D.",AITC,West Bengal
25,"Banerjee, Shri Ritabrata",CPI(M),West Bengal
26,"Batra, Shri Shadi Lal",INC,Haryana
27,"Bernard, Shri A. W. Rabi",AIADMK,Tamil Nadu
28,"Bhattacharya, Shri P.",INC,West Bengal
29,"Bhunder, Shri Balwinder Singh",SAD,Punjab
30,"Biswal, Shri Ranjib",INC,Odisha
31,"Bora, Shri Pankaj",INC,Assam
32,"Budania, Shri Narendra",INC,Rajasthan
33,"Chakraborty, Shri Mithun",AITC,West Bengal
34,"Chandrasekhar, Shri Rajeev",IND.,Karnataka
35,"Chaturvedi, Shri Satyavrat",INC,Madhya Pradesh
36,"Chavan, Smt. Vandana",NCP,Maharashtra
37,"Chiranjeevi, Dr. K.",INC,Andhra Pradesh
38,"Chowdary, Shri Y. S.",TDP,Andhra Pradesh
39,"Chowdhury, Prof. Jogen",AITC,West Bengal
40,"Chowdhury, Smt. Renuka",INC,Andhra Pradesh
41,"Daimary, Shri Biswajit",BPF,Assam
42,"Dalwai, Shri Husain",INC,Maharashtra
43,"Darda, Shri Vijay Jawaharlal",INC,Maharashtra
44,"Dave, Shri Anil Madhav",BJP,Madhya Pradesh
45,"Deo, Shri A.U. Singh",BJD,Odisha
46,"Desai, Shri Anil",SS,Maharashtra
47,"Dhindsa, Sardar Sukhdev Singh",SAD,Punjab
48,"Dhoot, Shri Rajkumar",SS,Maharashtra
49,"Dudi, Shri Ram Narain",BJP,Rajasthan
50,"Dwivedi, Shri Janardan",INC,National Capital Territory of Delhi
51,"Faruque, Smt. Naznin",INC,Assam
52,"Fayaz, Mir Mohammad",J&K PDP,Jammu & Kashmir
53,"Fernandes, Shri Oscar",INC,Karnataka
54,"Gehlot, Shri Thaawar Chand",BJP,Madhya Pradesh
55,"Ghosh, Shri Kunal Kumar",AITC,West Bengal
56,"Gill, Dr. M.S.",INC,Punjab
57,"Goel, Shri Vijay",BJP,Rajasthan
58,"Gohel, Shri Chunibhai Kanjibhai",BJP,Gujarat
59,"Gokulakrishnan, Shri N.",AIADMK,Puducherry
60,"Goud T., Shri Devender",TDP,Andhra Pradesh
61,"Gowda, Prof. M.V. Rajeev",INC,Karnataka
62,"Goyal, Shri Piyush",BJP,Maharashtra
63,"Gujral, Shri Naresh",SAD,Punjab
64,"Gupta, Shri Prem Chand",RJD,Jharkhand
65,"Gupta, Shri Vivek",AITC,West Bengal
66,"Haque, Shri Md. Nadimul",AITC,West Bengal
67,"Hariprasad, Shri B.K.",INC,Karnataka
68,"Harivansh, Shri",JD(U),Bihar
69,"Hashmi, Shri Parvez",INC,National Capital Territory of Delhi
70,"Hassan, Shri Ahamed",AITC,West Bengal
71,"Hembram, Smt. Sarojini",BJD,Odisha
72,"Heptulla, Dr. Najma A.",BJP,Madhya Pradesh
73,"Irani, Smt. Smriti Zubin",BJP,Gujarat
74,"Jain, Shri Ishwarlal Shankarlal",NCP,Maharashtra
75,"Jain, Shri Meghraj",BJP,Madhya Pradesh
76,"Jaitley, Shri Arun",BJP,Gujarat
77,"Jangde, Dr. Bhushan Lal",BJP,Chhattisgarh
78,"Jatiya, Dr. Satyanarayan",BJP,Madhya Pradesh
79,"Javadekar, Shri Prakash",BJP,Madhya Pradesh
80,"Jayashree, Smt. B.",NOM.,Nominated
81,"Jethmalani, Shri Ram",IND.,Rajasthan
82,"Jha, Shri Prabhat",BJP,Madhya Pradesh
83,"Judev, Shri Ranvijay Singh",BJP,Chhattisgarh
84,"Jugul Kishore, Shri",BSP,Uttar Pradesh
85,"Kakade, Shri Sanjay Dattatraya",IND.,Maharashtra
86,"Kalita, Shri Bhubaneswar",INC,Assam
87,"Kanimozhi, Smt.",DMK,Tamil Nadu
88,"Karan Singh, Dr.",INC,National Capital Territory of Delhi
89,"Kashyap, Shri Narendra Kumar",BSP,Uttar Pradesh
90,"Kashyap, Shri Ram Kumar",INLD,Haryana
91,"Katiyar, Shri Vinay",BJP,Uttar Pradesh
92,"Khan, Shri Javed Ali",SP,Uttar Pradesh
93,"Khan, Shri K. Rahman",INC,Karnataka
94,"Khan, Shri Mohd. Ali",INC,Andhra Pradesh
95,"Khanna, Shri Avinash Rai",BJP,Punjab
96,"Kidwai, Smt. Mohsina",INC,Chhattisgarh
97,"Kore, Dr. Prabhakar",BJP,Karnataka
98,"Kujur, Shri Santiuse",INC,Assam
99,"Kurien, Prof. P.J.",INC,Kerala
100,"Lachungpa, Shri Hishey",SDF,Sikkim
101,"Lakshmanan, Dr. R.",AIADMK,Tamil Nadu
102,"Laway, Shri Nazir Ahmed",J&K PDP,Jammu & Kashmir
103,"Mahendra Prasad, Dr.",JD(U),Bihar
104,"Mahra, Shri Mahendra Singh",INC,Uttarakhand
105,"Maitreyan, Dr. V.",AIADMK,Tamil Nadu
106,"Mallya, Dr. Vijay",IND.,Karnataka
107,"Mandaviya, Shri Mansukh L.",BJP,Gujarat
108,"Manhas, Shri Shamsher Singh",BJP,Jammu & Kashmir
109,"Manjunatha, Shri Aayanur",BJP,Karnataka
110,"Mayawati, Km.",BSP,Uttar Pradesh
111,"Memon, Shri Majeed",NCP,Maharashtra
112,"Miri, Prof. Mrinal",NOM.,Nominated
113,"Misra, Shri Satish Chandra",BSP,Uttar Pradesh
